Type,Group,item,inference,answer,condition_name,condition,dialog1,dialog2,dialog3,answer1,answer2,correct,NULL
exp,A,1,i,Prob,iProb_1,detention,"At my son’s private school, students get detention for not wearing a tie.","Oh, my grandson goes to a private school, and I know he didn’t wear his tie today.","Well, then ...",... he <span class='highlight'>probably got</span> detention.,... he <span class='highlight'>must have gotten</span> detention.,,
exp,B,1,d,Prob,dProb_1,detention,"At my son’s private school, students get detention for not wearing a tie.","Oh, my grandson goes to the same school and I know he didn’t wear his tie this morning.","Well, then ...",... he <span class='highlight'>probably got</span> detention.,... he <span class='highlight'>must have gotten</span> detention.,,
exp,C,1,a,Prob,aProb_1,detention,I heard John broke the school dress code again.,Oh yeah? He missed practice after school today.,"Well, then ...",... he <span class='highlight'>probably got</span> detention.,... he <span class='highlight'>must have gotten</span> detention.,,
exp,C,2,i,Prob,iProb_2,Ethics,"At Capital Bank, financial advisors do ethics training every two years.","Oh, my wife is a financial advisor at a bank, and she’s been there for three years.","Well, then ...",... she <span class='highlight'>probably has completed</span> ethics training. ,... she <span class='highlight'>must have completed</span> ethics training. ,,
exp,A,2,d,Prob,dProb_2,Ethics,"At Capital Bank, financial advisors do ethics training every two years.","Oh, my wife is a financial advisor at that bank, and she’s been there for three years.","Well, then ...",... she <span class='highlight'>probably has completed</span> ethics training. ,... she <span class='highlight'>must have completed</span> ethics training. ,,
exp,B,2,a,Prob,aProb_2,Ethics,Freya is giving us a presentation on corporate ethics tomorrow.,Oh yeah? I heard she was promoted to the compliance committee.,"Well, then ...",... she <span class='highlight'>probably has completed</span> ethics training. ,... she <span class='highlight'>must have completed</span> ethics training. ,,
exp,B,3,i,Prob,iProb_3,Health club,"At Apex Fitness, all receptionists take a first aid course.","Oh, my friend works at a gym, and she's a receptionist there. ","Well, then ...",... she <span class='highlight'>probably has taken</span> first aid training. ,... she <span class='highlight'>must have taken</span> first aid training. ,,
exp,C,3,d,Prob,dProb_3,Health club,"At Apex Fitness, all receptionists take a first aid course.","Oh, my friend works at that gym, and she's a receptionist there. ","Well, then ...",... she <span class='highlight'>probably has taken</span> first aid training. ,... she <span class='highlight'>must have taken</span> first aid training. ,,
exp,A,3,a,Prob,aProb_3,Health club,Laura helped a gym member with a dislocated shoulder yesterday.,"Yeah, she knew to immobilize the shoulder until the medics arrived.","Well, then ...",... she <span class='highlight'>probably has taken</span> first aid training. ,... she <span class='highlight'>must have taken</span> first aid training. ,,
exp,A,4,i,Prob,iProb_4,Hospice,"At my grandma's hospice, employees wearing perfume are required to shower before their shift.","Oh, my sister is a nurse at a hospice and she was caught wearing perfume.","Well, then ...",... she <span class='highlight'>was probably required</span> to shower.,... she <span class='highlight'>must have been required</span> to shower.,,
exp,B,4,d,Prob,dProb_4,Hospice,"At my grandma's hospice, employees wearing perfume are required to shower before their shift.","Oh, my sister is a nurse at that same hospice and she was caught wearing perfume.","Well, then ...",... she <span class='highlight'>was probably required</span> to shower.,... she <span class='highlight'>must have been required</span> to shower.,,
exp,C,4,a,Prob,aProb_4,Hospice,Laura took her break earlier than usual this afternoon.,I heard a patient threw up on her during her shift.,"Well, then ...",... she <span class='highlight'>was probably required</span> to shower.,... she <span class='highlight'>must have been required</span> to shower.,,
exp,C,5,i,Prob,iProb_5,Production,"At Silverline Productions, all employees who work on set sign a non-disclosure agreement.","Oh, my wife works on set for a production company.","Well, then ...",... she <span class='highlight'>probably signed</span> a non-disclosure agreement.,... she <span class='highlight'>must have signed</span> a non-disclosure agreement.,,
exp,A,5,d,Prob,dProb_5,Production,"At Silverline Productions, all employees who work on set sign a non-disclosure agreement.","Oh, my wife works on set for that production company.","Well, then ...",... she <span class='highlight'>probably signed</span> a non-disclosure agreement.,... she <span class='highlight'>must have signed</span> a non-disclosure agreement.,,
exp,B,5,a,Prob,aProb_5,Production,Paula got cast for that new Netflix show.,I heard she won’t tell anyone who her co-stars are.,"Well, then ...",... she <span class='highlight'>probably signed</span> a non-disclosure agreement.,... she <span class='highlight'>must have signed</span> a non-disclosure agreement.,,
exp,B,6,i,Prob,iProb_6,Trouble,"At Oakridge College, students caught vaping are sent to the Office of Student Conduct.","Oh, my sister’s in college, and she got caught vaping on campus recently.","Well, then ...",... she <span class='highlight'>probably was reported</span> to the Office of Student Conduct.,... she <span class='highlight'>must have been reported</span> to the Office of Student Conduct.,,
exp,C,6,d,Prob,dProb_6,Trouble,"At Oakridge College, students caught vaping are sent to the Office of Student Conduct.","Oh, my sister goes to that college too, and she got caught vaping on campus recently.","Well, then ...",... she <span class='highlight'>probably was reported</span> to the Office of Student Conduct.,... she <span class='highlight'>must have been reported</span> to the Office of Student Conduct.,,
exp,A,6,a,Prob,aProb_6,Trouble,I saw Leah leaving the Dean’s office looking really upset.,I heard she was caught cheating on her midterm.,"Well, then ...",... she <span class='highlight'>probably was reported</span> to the Office of Student Conduct.,... she <span class='highlight'>must have been reported</span> to the Office of Student Conduct.,,
filler,A,1027,i,,filler_i,safety helmets,"At my firm, engineers caught without safety helmets are suspended.","Oh, my husband is an engineer and he just got caught without his helmet.","Well, then ...",... he <span class='highlight'>was suspended</span>.,... he <span class='highlight'>might have been suspended</span>.,,bare / might
filler,A,1026,i,,filler_i,lacrosse woes,"On my varsity lacrosse team, athletes who miss 4 practices are put on academic probation.","Oh, my boyfriend plays on a varsity lacrosse team, and he missed 4 practices.","Well, then ...",... he <span class='highlight'>was put</span> on academic probation.,... he <span class='highlight'>has to have been put</span> on academic probation.,,bare / have to
filler,A,1025,i,,filler_i,gen ed ,"At my college, the study abroad program requires completing all the gen-ed classes.","Oh, my friend's in college, and she got into a study abroad program.","Well, then ...",... she <span class='highlight'>might have completed</span> all her gen ed requirements.,... she <span class='highlight'>has to have completed</span> all her gen ed requirements.,,might / have to
filler,A,1024,a,,filler_a,team-building,"After the audit last week, Chris was demoted.",I heard he used up the entire employee engagement budget in 9 months.,"Well, then ...",... it <span class='highlight'>triggered</span> an automatic review.,... it <span class='highlight'>might have triggered</span> an automatic review.,,bare / might
filler,A,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, then ...",... he<span class='highlight'>'s been pulling</span> overtime. ,... he <span class='highlight'>has to have been pulling</span> overtime.,,bare / have to
filler,A,1022,a,,filler_a,pharma inspection,Bob’s employees had a big meeting yesterday,I heard his lab is undergoing an audit.,"Well, then ...",... the employees <span class='highlight'>might have gotten</span> a lot of extra work.  ,... the employees <span class='highlight'>have to have gotten</span> a lot of extra work.,,might / have to
filler,B,1027,i,,filler_i,safety helmets,"At my engineering firm, employees caught without safety helmets are suspended.","Oh, my husband works at another engineering firm, and he got caught without his helmet last week.","Well, then ...",... he <span class='highlight'>was suspended</span>.,... he <span class='highlight'>might have been suspended</span>.,,bare / might
filler,B,1026,i,,filler_i,lacrosse woes,"On my lacrosse team, athletes who miss 4 practices are put on academic probation.","Oh, my boyfriend is on another lacrosse team, and he missed 4 practices.","Well, then ...",... he <span class='highlight'>was put</span> on academic probation.,... he <span class='highlight'>has to have been put</span> on academic probation.,,bare / have to
filler,B,1025,i,,filler_i,gen ed ,"At my college, the study abroad program requires completing all the gen-ed classes.","Oh, my friend's in college, and she got into a study abroad program.","Well, then ...",... she <span class='highlight'>might have completed</span> all her gen ed requirements.,... she <span class='highlight'>has to have completed</span> all her gen ed requirements.,,might / have to
filler,B,1024,a,,filler_a,team-building,"After the audit last week, Chris was demoted.",I heard he used up the entire employee engagement budget in 9 months.,"Well, then ...",... it <span class='highlight'>triggered</span> an automatic review.,... it <span class='highlight'>might have triggered</span> an automatic review.,,bare / might
filler,B,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, then ...",... he<span class='highlight'>'s been pulling</span> overtime. ,... he <span class='highlight'>has to have been pulling</span> overtime.,,bare / have to
filler,B,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for Humane Research Facility Certification.,"Well, then ...",... the employees <span class='highlight'>might have gotten</span> a lot of extra work.  ,... the employees <span class='highlight'>have to have gotten</span> a lot of extra work.,,might / have to
filler,C,1027,i,,filler_i,safety helmets,"At my engineering firm, employees caught without safety helmets are suspended.","Oh, my husband works at another engineering firm, and he got caught without his helmet last week.","Well, then ...",... he <span class='highlight'>was suspended</span>.,... he <span class='highlight'>might have been suspended</span>.,,bare / might
filler,C,1026,i,,filler_i,lacrosse woes,"On my lacrosse team, athletes who miss 4 practices are put on academic probation.","Oh, my boyfriend is on another lacrosse team, and he missed 4 practices.","Well, then ...",... he <span class='highlight'>was put</span> on academic probation.,... he <span class='highlight'>has to have been put</span> on academic probation.,,bare / have to
filler,C,1025,i,,filler_i,gen ed ,"At my college, the study abroad program requires completing all the gen-ed classes.","Oh, my friend's in college, and she got into a study abroad program.","Well, then ...",... she <span class='highlight'>might have completed</span> all her gen ed requirements.,... she <span class='highlight'>has to have completed</span> all her gen ed requirements.,,might / have to
filler,C,1024,a,,filler_a,team-building,"After the audit last week, Chris was demoted.",I heard he used up the entire employee engagement budget in 9 months.,"Well, then ...",... it <span class='highlight'>triggered</span> an automatic review.,... it <span class='highlight'>might have triggered</span> an automatic review.,,bare / might
filler,C,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, then ...",... he<span class='highlight'>'s been pulling</span> overtime. ,... he <span class='highlight'>has to have been pulling</span> overtime.,,bare / have to
filler,C,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for Humane Research Facility Certification.,"Well, then ...",... the employees <span class='highlight'>might have gotten</span> a lot of extra work.  ,... the employees <span class='highlight'>have to have gotten</span> a lot of extra work.,,might / have to
check,A,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. every night.,"Oh, I walked past a metro station last night at 2 a.m.","Well, then ...",... the metro <span class='highlight'>was</span> open. ,... the metro <span class='highlight'>was</span> closed. ,... the metro <span class='highlight'>was</span> open. ,
check,A,2002,d,,check_2d,check_2d,The robot that jumps the highest wins the competition.,"Oh, my friend entered that competition, and her robot jumped the highest.","Well, then ...",... she <span class='highlight'>won</span> the competition.,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,
check,A,2003,d,,check_3d,check_3d,You need at least 80% on the final exam to pass the driving test.,"Oh, my cousin took the test last week and scored 75%.","Well, then ...",... he <span class='highlight'>failed</span> the test.,... he <span class='highlight'>passed</span> the test.,... he <span class='highlight'>failed</span> the test.,
check,A,2004,d,,check_4d,check_4d,The machine is on whenever the power light is blue.,"Oh, I just checked, and the power light is blue.","Well, then ...",... the machine <span class='highlight'>is</span> off.,... the machine <span class='highlight'>is</span> on.,... the machine <span class='highlight'>is</span> on.,
check,B,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. every night.,"Oh, I walked past a metro station last night at 2 a.m.","Well, then ...",... the metro <span class='highlight'>was</span> open. ,... the metro <span class='highlight'>was</span> closed. ,... the metro <span class='highlight'>was</span> open. ,
check,B,2002,d,,check_2d,check_2d,The robot that jumps the highest wins the competition.,"Oh, my friend entered that competition, and her robot jumped the highest.","Well, then ...",... she <span class='highlight'>won</span> the competition.,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,
check,B,2003,d,,check_3d,check_3d,You need at least 80% on the final exam to pass the driving test.,"Oh, my cousin took the test last week and scored 75%.","Well, then ...",... he <span class='highlight'>failed</span> the test.,... he <span class='highlight'>passed</span> the test.,... he <span class='highlight'>failed</span> the test.,
check,B,2004,d,,check_4d,check_4d,The machine is on whenever the power light is blue.,"Oh, I just checked, and the power light is blue.","Well, then ...",... the machine <span class='highlight'>is</span> off.,... the machine <span class='highlight'>is</span> on.,... the machine <span class='highlight'>is</span> on.,
check,C,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. every night.,"Oh, I walked past a metro station last night at 2 a.m.","Well, then ...",... the metro <span class='highlight'>was</span> open. ,... the metro <span class='highlight'>was</span> closed. ,... the metro <span class='highlight'>was</span> open. ,
check,C,2002,d,,check_2d,check_2d,The robot that jumps the highest wins the competition.,"Oh, my friend entered that competition, and her robot jumped the highest.","Well, then ...",... she <span class='highlight'>won</span> the competition.,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,
check,C,2003,d,,check_3d,check_3d,You need at least 80% on the final exam to pass the driving test.,"Oh, my cousin took the test last week and scored 75%.","Well, then ...",... he <span class='highlight'>failed</span> the test.,... he <span class='highlight'>passed</span> the test.,... he <span class='highlight'>failed</span> the test.,
check,C,2004,d,,check_4d,check_4d,The machine is on whenever the power light is blue.,"Oh, I just checked, and the power light is blue.","Well, then ...",... the machine <span class='highlight'>is</span> off.,... the machine <span class='highlight'>is</span> on.,... the machine <span class='highlight'>is</span> on.,